"Grantmaker.Name","Grantmaker.State","Recipient.Name","Recipient.City","Recipient.State.Country","Primary.Subject","Year.Authorized","Grant.Amount","Support.Strategies","Description"
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,10000,"",""
"Ralph L & Winifred E Polk Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,10000,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,10000,"",""
"General Mills Foundation","MN","Spectrum Health-Reed City Campus","Reed City","MI","Public health ",2005,10000,"Program support","For Lifestyles"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,10000,"",""
"Cooper Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,7150,"",""
"Triford Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,6000,"",""
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,5000,"",""
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,5000,"",""
"Henry E & Consuelo S Wenger Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,5000,"",""
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,5000,"",""
"Douglas & Maria Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,4250,"",""
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,4000,"",""
"Onequest Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,3000,"",""
"Cdv5 Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,3000,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,1500,"",""
"Brandon Family Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,1000,"",""
"John Bouma Sr and Sharon K Bouma Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,1000,"",""
"Dte Energy Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,1000,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,1000,"",""
"Louis F and Florence H Weyand 1977","WI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,1000,"",""
"The Pfizer Foundation Inc","NY","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,1000,"",""
"Perrigo Company Charitable Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,500,"",""
"Walmart Foundation","AR","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,500,"","For Volunteerism Always Pays event"
"Henry E & Consuelo S Wenger Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,400,"",""
"Charles W Loosemore Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,100,"",""
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,2005000,"General support","For general support"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2004,1000000,"Capital campaigns;Continuing support","For Heart Center"
"Rordor Foundation","FL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,500000,"",""
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Cancers ",2004,500000,"Capital campaigns;Continuing support","For Cancer Center"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,250000,"General support","For general operating support"
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,210000,"Continuing support;General support","For general support"
"Comerica Charitable Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,125000,"",""
"Ford Philanthropy","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,115000,"Continuing support",""
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,100000,"Continuing support;General support","For general support"
"Springview Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,75000,"",""
"Fifth Third Trust","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,40000,"Capital and infrastructure;Continuing support","For capital fund"
"The Wege Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,40000,"Continuing support",""
"The Wege Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,40000,"Continuing support",""
"The Wege Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,40000,"Continuing support",""
"The Wege Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,40000,"Continuing support",""
"Mann Family Foundation","RI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,32035,"",""
"Samuel I Newhouse Foundation Inc","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,32000,"Continuing support",""
"Cdv5 Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,25000,"",""
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2004,25000,"Building and renovations;Continuing support","For construction of technologically-advanced Heart Center"
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,15735,"",""
"Cdv5 Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,15000,"",""
"Klopcic Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,15000,"",""
"The Gerber Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Kidney diseases ",2004,10000,"Program support","For Pediatric Nephrology program"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2004,10000,"Continuing support;Program support","For Spectrum Heart Center"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,10000,"General support","For general operating support"
"Samuel I Newhouse Foundation Inc","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,10000,"",""
"Millerknoll Foundation","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,10000,"General support","For general support"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2004,10000,"Continuing support;Program support","For Heart Center"
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,7000,"",""
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,5500,"",""
"Ralph L & Winifred E Polk Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,5000,"",""
"Ralph L & Winifred E Polk Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,5000,"",""
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,5000,"",""
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,5000,"",""
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,5000,"",""
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,4000,"",""
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,2000,"",""
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,2000,"",""
"Peter C. & Emajean Cook Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2004,1000,"",""
"The Barbara Frankel Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,1000,"General support","For general support"
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,250,"",""
"Sinai Medical Staff Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2004,100,"General support","For operating support"
"The Carls Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2003,1500000,"Capital and infrastructure","For Pediatric Medical Center of the new South Hospital at the Royal Oak Campus"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2003,1000000,"Capital campaigns;Continuing support","For Heart Center"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Cancers ",2003,500000,"Capital campaigns","For Cancer Center"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2003,250000,"Continuing support",""
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2003,214850,"Continuing support;General support","For general support"
"Ford Philanthropy","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2003,134000,"Continuing support",""
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2003,110000,"Continuing support;General support","For unrestricted support"
"Fifth Third Trust","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2003,40000,"Capital and infrastructure","For capital support"
"The Wege Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2003,40000,"",""
"The Wege Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2003,40000,"",""
"Samuel I Newhouse Foundation Inc","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2003,34000,"Continuing support",""
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2003,30000,"Building and renovations;Continuing support","For construction of technologically-advanced Heart Center"
"Fca Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2003,25000,"General support","For operating support"
"Keller Foundation","MI","Corewell Health","Grand Rapids","MI","Community health care ",2003,10000,"",""
"Millerknoll Foundation","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2003,10000,"General support","For general support"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2003,10000,"Continuing support",""
"Mark & Carol Muller Charitable Fund","MI","Corewell Health","Grand Rapids","MI","Community health care ",2003,10000,"",""
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2003,10000,"Program support","For Heart Center"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2003,5000,"",""
"Wilkinson Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2003,5000,"General support","For general support"
"Ralph L & Winifred E Polk Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2003,5000,"","For Center for Human Development"
"Ralph L & Winifred E Polk Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2003,5000,"Program support","For Positive Parenting Program"
"Barron Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2003,4000,"General support","For general support"
"Anna C Gamble Foundation","IN","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,5000,"","EDUCATION"
"The Aletheia Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,5000,"General support","GENERAL SUPPORT"
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,5000,"General support","GENERAL SUPPORT"
"Onequest Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,5000,"General support","UNRESTRICTED GRANT TO GENERAL FUND"
"Jim and Ginger Jurries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,5000,"General support","OPERATIONS"
"Littler Mendelson Foundation Inc Attn Tax Manager","MO","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,5000,"General support","GENERAL SUPPORT"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,5000,"","Special Initiatives"
